cbsa,code
New York-Newark-Jersey City NY-NJ-PA,35620
Los Angeles-Long Beach-Anaheim CA,31080
Chicago-Naperville-Elgin IL-IN-WI,16980
Dallas-Fort Worth-Arlington TX,19100
Houston-The Woodlands-Sugar Land TX,26420
Washington-Arlington-Alexandria DC-VA-MD-WV,47900
Miami-Fort Lauderdale-West Palm Beach FL,33100
Philadelphia-Camden-Wilmington PA-NJ-DE-MD,37980
Atlanta-Sandy Springs-Alpharetta GA,12060
Phoenix-Mesa-Chandler AZ,38060
Boston-Cambridge-Newton MA-NH,14460
San Francisco-Oakland-Berkeley CA,41860
Riverside-San Bernardino-Ontario CA,40140
Detroit-Warren-Dearborn MI,19820
Seattle-Tacoma-Bellevue WA,42660
Minneapolis-St. Paul-Bloomington MN-WI,33460
San Diego-Chula Vista-Carlsbad CA,41740
Tampa-St. Petersburg-Clearwater FL,45300
Denver-Aurora-Lakewood CO,19740
Baltimore-Columbia-Towson MD,12580
